@relation MyRelation

@attribute id numeric
@attribute User string
@attribute tweet string
@attribute date date yyyy/MM/dd

@data
5.0185608594771558E17,Buninhaf,'RT @malhanaticos: \"Para levantar audiência de ‘Malhação’, Globo faz Juliana Paiva repetir o papel de Fatinha na trama.\"\nminha idola sinônim…',2014/08/19
5.0185609129127117E17,CrisFariass,'RT @phaeldesouzaa: @CrisFariass nos smp esperamos passar o jogo na globo.',2014/08/19
5.0185609770814669E17,itacambiofabio,'Loja em shopping pode ter aluguel variável além do valor fixo pago mensalmente http://t.co/ehQ5ArAEXY #varejo',2014/08/19
5.018561001450496E17,Esportenoticia_,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/B6SkhwSAlq',2014/08/19
5.0185610306428518E17,JulianaScaf,'Grupo radical Estado Islâmico diz ter decapitado jornalista dos EUA - http://t.co/B7Rff5Ghn0 http://t.co/RLjRGKyMYG',2014/08/19
5.0185610361413632E17,retwitermateus,'RT @EridaRubia: @francisco_erich HOJE VAI PASSAR NA GLOBO SOCIEDADE DOS POETAS MORTTOS!!! PERDO POR NADA!!!!!!!!!!!!!!!!!!',2014/08/19
5.0185613332656947E17,kalfalists2,'RT @turquim5: Ele avisou...Paulo Henrique Amorim: ”A GLOBO QUER DERRUBAR DILMA ROUSSEFF“. http://t.co/5BlkJoPuo4 Blog @Pocos10 - @ConversaA…',2014/08/19
5.0185613903082291E17,lucasribeiroweb,'No Portal LRNI: Veja a agenda dos candidatos ao governo do ES nesta quarta, 20 -  http://t.co/qFmfG2RbFq',2014/08/19
5.0185614269667738E17,taiswb,'RT @joaopaulom: Marido \"cara de mogno\" de Marina pede exoneração no Governo petista do Acre para acompanhá-la na campanha http://t.co/HCMuX…',2014/08/19
5.0185614299864269E17,lucasribeiroweb,'No Portal LRNI: Vieira da Cunha é entrevistado pelo RBS Notícias; assista ao vídeo -  http://t.co/DxUWkWWL4h',2014/08/19
5.018561449066496E17,G_Contemporanea,'Ilha vulcânica do Japão pode afundar e criar tsunami, diz estudo\n\nhttp://t.co/BtTyFoLAFt \n\nvia @g1mundo',2014/08/19
5.0185614665187738E17,lucasribeiroweb,'No Portal LRNI: Veja a agenda dos candidatos ao governo do RN para esta quarta (20) -  http://t.co/0DD9CK5JX0',2014/08/19
5.0185614778855424E17,RicaPerrone,'Revelada a farsa de Flu x Botafogo, que a Globo armou o resultado. https://t.co/0k9syPcGWk',2014/08/19
